,STOCK,SEC_SHORT_NAME,INFO_ID,PUBLISH_TIME,END_DATE,ORG_NAME
0,SH600161,天坛生物,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
1,SZ000100,TCL科技,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
2,SZ000598,兴蓉环境,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
3,SH603599,广信股份,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
4,SZ01347,华虹半导体,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
5,SZ688007,光峰科技,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
6,SH600496,精工钢构,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
7,SZ09633,农夫山泉,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
8,SH600079,人福医药,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
9,SH601965,中国汽研,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
10,SH605111,新洁能,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
11,SZ300610,晨化股份,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
12,SZ000800,一汽解放,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
13,SH603599,广信股份,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
14,SH600153,建发股份,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
15,SZ002245,蔚蓝锂芯,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
16,SZ300610,晨化股份,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
17,SZ000800,一汽解放,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
18,SZ002531,天顺风能,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
19,SH601965,中国汽研,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
20,SZ002245,蔚蓝锂芯,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
21,SH603599,广信股份,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
22,SZ002531,天顺风能,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
23,SH601965,中国汽研,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
24,SZ002291,星期六,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
25,SH600079,人福医药,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
26,SH600496,精工钢构,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
27,SZ300567,精测电子,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
28,SZ688129,东来技术,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
29,SZ300610,晨化股份,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
30,SZ000157,中联重科,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
31,SZ300908,仲景食品,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
32,SZ000800,一汽解放,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
33,SH600258,首旅酒店,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
34,SZ300567,精测电子,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
35,SZ000100,TCL科技,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
36,SZ000100,TCL科技,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
37,SZ000636,风华高科,F000278,2021-03-31 00:00:00,2021-04-30,国联证券
38,SZ002444,巨星科技,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
39,SH601688,华泰证券,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
40,SH600496,精工钢构,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
41,SH601965,中国汽研,F000277,2021-04-30 00:00:00,2021-05-31,国联证券
42,SH603313,梦百合,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
43,SH600392,盛和资源,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
44,SZ688129,东来技术,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
45,SH603599,广信股份,F000280,2021-02-01 00:00:00,2021-02-28,国联证券
46,SZ688777,中控技术,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
47,SH601688,华泰证券,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
48,SZ688129,东来技术,F000279,2021-02-28 00:00:00,2021-03-31,国联证券
49,SH603659,璞泰来,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
50,SZ002624,完美世界,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
51,SH600496,精工钢构,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
52,SZ000887,中鼎股份,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
53,SH603599,广信股份,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
54,SH603599,广信股份,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
55,SZ002928,华夏航空,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
56,SZ002511,中顺洁柔,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
57,SZ002241,歌尔股份,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
58,SH600079,人福医药,F000281,2021-01-01 00:00:00,2021-01-31,国联证券
59,SZ300999,金龙鱼,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
60,SH600674,川投能源,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
61,SZ000100,TCL科技,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
62,SZ688129,东来技术,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
63,SZ000887,中鼎股份,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
64,SH601865,福莱特,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
65,SH600977,中国电影,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
66,SZ688129,东来技术,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
67,SZ000887,中鼎股份,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
68,SH600496,精工钢构,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
69,SZ002010,传化智联,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
70,SH603659,璞泰来,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
71,SH601688,华泰证券,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
72,SZ002434,万里扬,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
73,SZ300785,值得买,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
74,SH601865,福莱特,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
75,SZ000636,风华高科,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
76,SH601238,广汽集团,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
77,SH600873,梅花生物,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
78,SH601965,中国汽研,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
79,SZ000157,中联重科,F000282,2020-11-30 00:00:00,2020-12-31,国联证券
80,SH601163,三角轮胎,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
81,SZ300258,精锻科技,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
82,SZ002039,黔源电力,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
83,SZ300801,泰和科技,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
84,SZ688396,华润微,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
85,SZ002007,华兰生物,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
86,SH601238,广汽集团,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
87,SZ002727,一心堂,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
88,SZ300801,泰和科技,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
89,SZ300801,泰和科技,F000284,2020-09-30 00:00:00,2020-10-31,国联证券
90,SZ300258,精锻科技,F000283,2020-10-31 00:00:00,2020-11-30,国联证券
91,SZ000636,风华高科,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
92,SH603258,电魂网络,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
93,SH600460,士兰微,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
94,SZ300146,汤臣倍健,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
95,SZ000636,风华高科,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
96,SH601718,际华集团,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
97,SZ300146,汤臣倍健,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
98,SH603799,华友钴业,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
99,SH603258,电魂网络,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
100,SH601688,华泰证券,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
101,SZ000831,五矿稀土,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
102,SH601688,华泰证券,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
103,SZ002602,世纪华通,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
104,SH601996,丰林集团,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
105,SH601965,中国汽研,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
106,SH603976,正川股份,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
107,SZ688008,澜起科技,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
108,SZ002241,歌尔股份,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
109,SZ002624,完美世界,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
110,SZ300260,新莱应材,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
111,SZ300274,阳光电源,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
112,SH600873,梅花生物,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
113,SH600031,三一重工,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
114,SH603501,韦尔股份,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
115,SH603396,金辰股份,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
116,SZ002409,雅克科技,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
117,SZ300146,汤臣倍健,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
118,SZ300450,先导智能,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
119,SH600893,航发动力,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
120,SH600597,光明乳业,F000288,2020-05-31 00:00:00,2020-06-30,国联证券
121,SZ000951,中国重汽,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
122,SZ300274,阳光电源,F000285,2020-09-01 00:00:00,2020-09-30,国联证券
123,SH600026,中远海能,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
124,SH600380,健康元,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
125,SH600893,航发动力,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
126,SH600597,光明乳业,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
127,SZ002594,比亚迪,F000287,2020-06-30 00:00:00,2020-07-31,国联证券
128,SH600258,首旅酒店,F000289,2020-04-30 00:00:00,2020-05-31,国联证券
129,SZ002039,黔源电力,F000286,2020-07-31 00:00:00,2020-08-31,国联证券
130,SZ002308,威创股份,F000093,2017-10-08 00:00:00,2017-10-31,方正证券
131,SZ300098,高新兴,F000093,2017-10-08 00:00:00,2017-10-31,方正证券
132,SZ002027,分众传媒,F000094,2017-11-01 00:00:00,2017-11-30,方正证券
