日期,60日均值,140日均值,差值,结果
2017/1/3,0.720751667,0.982707857,0.26195619,1
2017/1/4,0.71746,0.978074286,0.260614286,1
2017/1/5,0.715586667,0.974057143,0.258470476,1
2017/1/6,0.713588333,0.969890714,0.256302381,1
2017/1/9,0.711401667,0.965877143,0.254475476,1
2017/1/10,0.708946667,0.961987143,0.253040476,1
2017/1/11,0.707598333,0.958087857,0.250489524,1
2017/1/12,0.706548333,0.953426429,0.246878095,1
2017/1/13,0.704833333,0.948752857,0.243919524,1
2017/1/16,0.704168333,0.944774286,0.240605952,1
2017/1/17,0.704556667,0.941257143,0.236700476,1
2017/1/18,0.703193333,0.937338571,0.234145238,1
2017/1/19,0.702053333,0.933635714,0.231582381,1
2017/1/20,0.700741667,0.929311429,0.228569762,1
2017/1/22,0.698616667,0.925493571,0.226876905,1
2017/1/23,0.697373333,0.922677857,0.225304524,1
2017/1/24,0.695481667,0.919653571,0.224171905,1
2017/1/25,0.693918333,0.916486429,0.222568095,1
2017/1/26,0.692128333,0.913821429,0.221693095,1
2017/1/27,0.691111667,0.911292143,0.220180476,1
2017/1/30,0.690663333,0.908690714,0.218027381,1
2017/1/31,0.69402,0.906331429,0.212311429,1
2017/2/1,0.697751667,0.903797143,0.206045476,1
2017/2/2,0.70111,0.900867143,0.199757143,1
2017/2/3,0.706171667,0.898472143,0.192300476,1
2017/2/4,0.711168333,0.895637143,0.18446881,1
2017/2/6,0.718256667,0.894190714,0.175934048,1
2017/2/7,0.726108333,0.893172143,0.16706381,1
2017/2/8,0.735591667,0.892438571,0.156846905,1
2017/2/9,0.743253333,0.890691429,0.147438095,1
2017/2/10,0.751051667,0.889715714,0.138664048,1
2017/2/13,0.759453333,0.888515714,0.129062381,1
2017/2/14,0.766961667,0.886931429,0.119969762,1
2017/2/15,0.773475,0.884794286,0.111319286,1
2017/2/16,0.779736667,0.883282857,0.10354619,1
2017/2/17,0.785078333,0.881504286,0.096425952,1
2017/2/20,0.789761667,0.879869286,0.090107619,1
